trip_id,feedback_text,timestamp
T00057,"Smooth ride, arrived on time. Would recommend!",2024-01-02 04:30:00
T00058,"Excellent service, driver was very helpful.",2024-01-02 05:00:00
T00059,"Great driver, very professional and courteous.",2024-01-02 05:30:00
T00060,"Smooth ride, arrived on time. Would recommend!",2024-01-02 06:00:00
T00061,"Smooth ride, arrived on time. Would recommend!",2024-01-02 06:30:00
T00062,"Smooth ride, arrived on time. Would recommend!",2024-01-02 07:00:00
T00063,"Safe driving, comfortable journey. Thank you!",2024-01-02 07:30:00
T00064,"Safe driving, comfortable journey. Thank you!",2024-01-02 08:00:00
T00065,"Excellent service, driver was very helpful.",2024-01-02 08:30:00
T00066,"Smooth ride, arrived on time. Would recommend!",2024-01-02 09:00:00
T00067,"Excellent service, driver was very helpful.",2024-01-02 09:30:00
T00068,"Great driver, very professional and courteous.",2024-01-02 10:00:00
T00069,"Ride was okay, nothing special.",2024-01-02 10:30:00
T00070,"Great driver, very professional and courteous.",2024-01-02 11:00:00
T00071,"Excellent service, driver was very helpful.",2024-01-02 11:30:00
T00072,"Safe driving, comfortable journey. Thank you!",2024-01-02 12:00:00
T00073,"Excellent service, driver was very helpful.",2024-01-02 12:30:00
T00074,"Great driver, very professional and courteous.",2024-01-02 13:00:00
T00075,"Smooth ride, arrived on time. Would recommend!",2024-01-02 13:30:00
T00076,"Excellent service, driver was very helpful.",2024-01-02 14:00:00
T00077,"Smooth ride, arrived on time. Would recommend!",2024-01-02 14:30:00
T00078,"Safe driving, comfortable journey. Thank you!",2024-01-02 15:00:00
T00079,"Safe driving, comfortable journey. Thank you!",2024-01-02 15:30:00
T00080,"Safe driving, comfortable journey. Thank you!",2024-01-02 16:00:00
T00081,"Smooth ride, arrived on time. Would recommend!",2024-01-02 16:30:00
T00082,"Excellent service, driver was very helpful.",2024-01-02 17:00:00
T00083,"Smooth ride, arrived on time. Would recommend!",2024-01-02 17:30:00
T00084,"Smooth ride, arrived on time. Would recommend!",2024-01-02 18:00:00
T00085,"Excellent service, driver was very helpful.",2024-01-02 18:30:00
T00086,"Safe driving, comfortable journey. Thank you!",2024-01-02 19:00:00
T00087,"Safe driving, comfortable journey. Thank you!",2024-01-02 19:30:00
T00088,"Excellent service, driver was very helpful.",2024-01-02 20:00:00
T00089,"Smooth ride, arrived on time. Would recommend!",2024-01-02 20:30:00
T00090,"Smooth ride, arrived on time. Would recommend!",2024-01-02 21:00:00
T00091,"Safe driving, comfortable journey. Thank you!",2024-01-02 21:30:00
T00092,"Great driver, very professional and courteous.",2024-01-02 22:00:00
T00093,"Great driver, very professional and courteous.",2024-01-02 22:30:00
T00094,"Great driver, very professional and courteous.",2024-01-02 23:00:00
T00095,"Smooth ride, arrived on time. Would recommend!",2024-01-02 23:30:00
T00096,"Smooth ride, arrived on time. Would recommend!",2024-01-03 00:00:00
T00097,"Safe driving, comfortable journey. Thank you!",2024-01-03 00:30:00
T00098,"Great driver, very professional and courteous.",2024-01-03 01:00:00
T00099,"Safe driving, comfortable journey. Thank you!",2024-01-03 01:30:00
T00100,"Safe driving, comfortable journey. Thank you!",2024-01-03 02:00:00
T00101,"Safe driving, comfortable journey. Thank you!",2024-01-03 02:30:00
T00102,"Excellent service, driver was very helpful.",2024-01-03 03:00:00
T00103,"Great driver, very professional and courteous.",2024-01-03 03:30:00
T00104,"Great driver, very professional and courteous.",2024-01-03 04:00:00
T00105,"Excellent service, driver was very helpful.",2024-01-03 04:30:00
T00106,"Excellent service, driver was very helpful.",2024-01-03 05:00:00
T00107,"Great driver, very professional and courteous.",2024-01-03 05:30:00
T00108,"Excellent service, driver was very helpful.",2024-01-03 06:00:00
T00109,"Safe driving, comfortable journey. Thank you!",2024-01-03 06:30:00
T00110,"Smooth ride, arrived on time. Would recommend!",2024-01-03 07:00:00
T00111,"Safe driving, comfortable journey. Thank you!",2024-01-03 07:30:00
T00112,"Great driver, very professional and courteous.",2024-01-03 08:00:00
T00113,"Excellent service, driver was very helpful.",2024-01-03 08:30:00
T00114,"Smooth ride, arrived on time. Would recommend!",2024-01-03 09:00:00
T00115,"Great driver, very professional and courteous.",2024-01-03 09:30:00
T00116,"Excellent service, driver was very helpful.",2024-01-03 10:00:00
T00117,"Smooth ride, arrived on time. Would recommend!",2024-01-03 10:30:00
T00118,"Smooth ride, arrived on time. Would recommend!",2024-01-03 11:00:00
T00119,"Excellent service, driver was very helpful.",2024-01-03 11:30:00
T00120,"Smooth ride, arrived on time. Would recommend!",2024-01-03 12:00:00
T00121,"Great driver, very professional and courteous.",2024-01-03 12:30:00
T00122,"Excellent service, driver was very helpful.",2024-01-03 13:00:00
T00123,"Safe driving, comfortable journey. Thank you!",2024-01-03 13:30:00
T00124,"Great driver, very professional and courteous.",2024-01-03 14:00:00
T00125,"Great driver, very professional and courteous.",2024-01-03 14:30:00
T00126,"Excellent service, driver was very helpful.",2024-01-03 15:00:00
T00127,"Excellent service, driver was very helpful.",2024-01-03 15:30:00
T00128,"Smooth ride, arrived on time. Would recommend!",2024-01-03 16:00:00
T00129,"Great driver, very professional and courteous.",2024-01-03 16:30:00
T00130,"Smooth ride, arrived on time. Would recommend!",2024-01-03 17:00:00
T00131,"Great driver, very professional and courteous.",2024-01-03 17:30:00
T00132,"Great driver, very professional and courteous.",2024-01-03 18:00:00
T00133,"Safe driving, comfortable journey. Thank you!",2024-01-03 18:30:00
T00134,"Great driver, very professional and courteous.",2024-01-03 19:00:00
T00135,"Smooth ride, arrived on time. Would recommend!",2024-01-03 19:30:00
T00136,"Smooth ride, arrived on time. Would recommend!",2024-01-03 20:00:00
T00137,"Safe driving, comfortable journey. Thank you!",2024-01-03 20:30:00
T00138,"Smooth ride, arrived on time. Would recommend!",2024-01-03 21:00:00
T00139,"Excellent service, driver was very helpful.",2024-01-03 21:30:00
T00140,"Safe driving, comfortable journey. Thank you!",2024-01-03 22:00:00
T00141,"Smooth ride, arrived on time. Would recommend!",2024-01-03 22:30:00
T00142,"Smooth ride, arrived on time. Would recommend!",2024-01-03 23:00:00
T00143,"Excellent service, driver was very helpful.",2024-01-03 23:30:00
T00144,"Safe driving, comfortable journey. Thank you!",2024-01-04 00:00:00
T00145,"Excellent service, driver was very helpful.",2024-01-04 00:30:00
T00146,"Safe driving, comfortable journey. Thank you!",2024-01-04 01:00:00
T00147,"Safe driving, comfortable journey. Thank you!",2024-01-04 01:30:00
T00148,"Great driver, very professional and courteous.",2024-01-04 02:00:00
T00149,"Smooth ride, arrived on time. Would recommend!",2024-01-04 02:30:00
T00150,"Smooth ride, arrived on time. Would recommend!",2024-01-04 03:00:00
T00151,"Great driver, very professional and courteous.",2024-01-04 03:30:00
T00152,"Excellent service, driver was very helpful.",2024-01-04 04:00:00
T00153,"Great driver, very professional and courteous.",2024-01-04 04:30:00
T00154,"Smooth ride, arrived on time. Would recommend!",2024-01-04 05:00:00
T00155,"Smooth ride, arrived on time. Would recommend!",2024-01-04 05:30:00
T00156,"Great driver, very professional and courteous.",2024-01-04 06:00:00
T00157,"Ride was okay, nothing special.",2024-01-04 06:30:00
T00158,"Great driver, very professional and courteous.",2024-01-04 07:00:00
T00159,"Ride was okay, nothing special.",2024-01-04 07:30:00
T00160,"Great driver, very professional and courteous.",2024-01-04 08:00:00
T00161,"Great driver, very professional and courteous.",2024-01-04 08:30:00
T00162,"Excellent service, driver was very helpful.",2024-01-04 09:00:00
T00163,"Great driver, very professional and courteous.",2024-01-04 09:30:00
T00164,"Smooth ride, arrived on time. Would recommend!",2024-01-04 10:00:00
T00165,"Excellent service, driver was very helpful.",2024-01-04 10:30:00
T00166,"Safe driving, comfortable journey. Thank you!",2024-01-04 11:00:00
T00167,"Smooth ride, arrived on time. Would recommend!",2024-01-04 11:30:00
T00168,"Smooth ride, arrived on time. Would recommend!",2024-01-04 12:00:00
T00169,"Safe driving, comfortable journey. Thank you!",2024-01-04 12:30:00
T00170,"Smooth ride, arrived on time. Would recommend!",2024-01-04 13:00:00
T00171,"Safe driving, comfortable journey. Thank you!",2024-01-04 13:30:00
T00172,"Safe driving, comfortable journey. Thank you!",2024-01-04 14:00:00
T00173,"Smooth ride, arrived on time. Would recommend!",2024-01-04 14:30:00
T00174,"Great driver, very professional and courteous.",2024-01-04 15:00:00
T00175,"Great driver, very professional and courteous.",2024-01-04 15:30:00
T00176,"Safe driving, comfortable journey. Thank you!",2024-01-04 16:00:00
T00177,"Excellent service, driver was very helpful.",2024-01-04 16:30:00
T00178,"Safe driving, comfortable journey. Thank you!",2024-01-04 17:00:00
T00179,"Safe driving, comfortable journey. Thank you!",2024-01-04 17:30:00
T00180,"Safe driving, comfortable journey. Thank you!",2024-01-04 18:00:00
T00181,"Great driver, very professional and courteous.",2024-01-04 18:30:00
T00182,"Great driver, very professional and courteous.",2024-01-04 19:00:00
T00183,"Great driver, very professional and courteous.",2024-01-04 19:30:00
T00184,"Safe driving, comfortable journey. Thank you!",2024-01-04 20:00:00
T00185,"Excellent service, driver was very helpful.",2024-01-04 20:30:00
T00186,"Great driver, very professional and courteous.",2024-01-04 21:00:00
T00187,"Smooth ride, arrived on time. Would recommend!",2024-01-04 21:30:00
T00188,"Smooth ride, arrived on time. Would recommend!",2024-01-04 22:00:00
T00189,"Smooth ride, arrived on time. Would recommend!",2024-01-04 22:30:00
T00190,"Safe driving, comfortable journey. Thank you!",2024-01-04 23:00:00
T00191,"Smooth ride, arrived on time. Would recommend!",2024-01-04 23:30:00
T00192,"Safe driving, comfortable journey. Thank you!",2024-01-05 00:00:00
T00193,"Smooth ride, arrived on time. Would recommend!",2024-01-05 00:30:00
T00194,"Excellent service, driver was very helpful.",2024-01-05 01:00:00
T00195,"Safe driving, comfortable journey. Thank you!",2024-01-05 01:30:00
T00196,"Smooth ride, arrived on time. Would recommend!",2024-01-05 02:00:00
T00197,"Great driver, very professional and courteous.",2024-01-05 02:30:00
T00198,"Safe driving, comfortable journey. Thank you!",2024-01-05 03:00:00
T00199,"Great driver, very professional and courteous.",2024-01-05 03:30:00
T00200,"Great driver, very professional and courteous.",2024-01-05 04:00:00
T00201,"Great driver, very professional and courteous.",2024-01-05 04:30:00
T00202,"Great driver, very professional and courteous.",2024-01-05 05:00:00
T00203,"Smooth ride, arrived on time. Would recommend!",2024-01-05 05:30:00
T00204,"Smooth ride, arrived on time. Would recommend!",2024-01-05 06:00:00
T00205,"Safe driving, comfortable journey. Thank you!",2024-01-05 06:30:00
T00206,"Safe driving, comfortable journey. Thank you!",2024-01-05 07:00:00
T00207,"Safe driving, comfortable journey. Thank you!",2024-01-05 07:30:00
T00208,"Smooth ride, arrived on time. Would recommend!",2024-01-05 08:00:00
T00209,"Safe driving, comfortable journey. Thank you!",2024-01-05 08:30:00
T00210,"Great driver, very professional and courteous.",2024-01-05 09:00:00
T00211,"Smooth ride, arrived on time. Would recommend!",2024-01-05 09:30:00
T00212,"Safe driving, comfortable journey. Thank you!",2024-01-05 10:00:00
T00213,"Great driver, very professional and courteous.",2024-01-05 10:30:00
T00214,"Safe driving, comfortable journey. Thank you!",2024-01-05 11:00:00
T00215,"Excellent service, driver was very helpful.",2024-01-05 11:30:00
T00216,"Safe driving, comfortable journey. Thank you!",2024-01-05 12:00:00
T00217,"Excellent service, driver was very helpful.",2024-01-05 12:30:00
T00218,"Safe driving, comfortable journey. Thank you!",2024-01-05 13:00:00
T00219,"Safe driving, comfortable journey. Thank you!",2024-01-05 13:30:00
T00220,"Smooth ride, arrived on time. Would recommend!",2024-01-05 14:00:00
T00221,"Smooth ride, arrived on time. Would recommend!",2024-01-05 14:30:00
T00222,"Excellent service, driver was very helpful.",2024-01-05 15:00:00
T00223,"Smooth ride, arrived on time. Would recommend!",2024-01-05 15:30:00
T00224,"Great driver, very professional and courteous.",2024-01-05 16:00:00
T00225,"Great driver, very professional and courteous.",2024-01-05 16:30:00
T00226,"Excellent service, driver was very helpful.",2024-01-05 17:00:00
T00227,"Great driver, very professional and courteous.",2024-01-05 17:30:00
T00228,"Great driver, very professional and courteous.",2024-01-05 18:00:00
T00229,"Safe driving, comfortable journey. Thank you!",2024-01-05 18:30:00
T00230,"Smooth ride, arrived on time. Would recommend!",2024-01-05 19:00:00
T00231,"Great driver, very professional and courteous.",2024-01-05 19:30:00
T00232,"Great driver, very professional and courteous.",2024-01-05 20:00:00
T00233,"Smooth ride, arrived on time. Would recommend!",2024-01-05 20:30:00
T00234,"Great driver, very professional and courteous.",2024-01-05 21:00:00
T00235,"Great driver, very professional and courteous.",2024-01-05 21:30:00
T00236,"Smooth ride, arrived on time. Would recommend!",2024-01-05 22:00:00
T00237,"Safe driving, comfortable journey. Thank you!",2024-01-05 22:30:00
T00238,"Great driver, very professional and courteous.",2024-01-05 23:00:00
T00239,"Smooth ride, arrived on time. Would recommend!",2024-01-05 23:30:00
T00240,"Great driver, very professional and courteous.",2024-01-06 00:00:00
T00241,"Great driver, very professional and courteous.",2024-01-06 00:30:00
T00242,"Safe driving, comfortable journey. Thank you!",2024-01-06 01:00:00
T00243,"Excellent service, driver was very helpful.",2024-01-06 01:30:00
T00244,"Excellent service, driver was very helpful.",2024-01-06 02:00:00
T00245,"Smooth ride, arrived on time. Would recommend!",2024-01-06 02:30:00
T00246,"Excellent service, driver was very helpful.",2024-01-06 03:00:00
T00247,"Smooth ride, arrived on time. Would recommend!",2024-01-06 03:30:00
T00248,"Excellent service, driver was very helpful.",2024-01-06 04:00:00
T00249,"Safe driving, comfortable journey. Thank you!",2024-01-06 04:30:00
T00250,"Smooth ride, arrived on time. Would recommend!",2024-01-06 05:00:00
T00251,"Excellent service, driver was very helpful.",2024-01-06 05:30:00
T00252,"Safe driving, comfortable journey. Thank you!",2024-01-06 06:00:00
T00253,"Excellent service, driver was very helpful.",2024-01-06 06:30:00
T00254,"Great driver, very professional and courteous.",2024-01-06 07:00:00
T00255,"Great driver, very professional and courteous.",2024-01-06 07:30:00
T00256,"Safe driving, comfortable journey. Thank you!",2024-01-06 08:00:00
T00257,"Great driver, very professional and courteous.",2024-01-06 08:30:00
T00258,"Great driver, very professional and courteous.",2024-01-06 09:00:00
T00259,"Smooth ride, arrived on time. Would recommend!",2024-01-06 09:30:00
T00260,"Excellent service, driver was very helpful.",2024-01-06 10:00:00
T00261,"Smooth ride, arrived on time. Would recommend!",2024-01-06 10:30:00
T00262,"Excellent service, driver was very helpful.",2024-01-06 11:00:00
T00263,"Great driver, very professional and courteous.",2024-01-06 11:30:00
T00264,"Smooth ride, arrived on time. Would recommend!",2024-01-06 12:00:00
T00265,"Excellent service, driver was very helpful.",2024-01-06 12:30:00
T00266,"Excellent service, driver was very helpful.",2024-01-06 13:00:00
T00267,"Smooth ride, arrived on time. Would recommend!",2024-01-06 13:30:00
T00268,"Safe driving, comfortable journey. Thank you!",2024-01-06 14:00:00
T00269,"Excellent service, driver was very helpful.",2024-01-06 14:30:00
T00270,Driver was quiet but professional.,2024-01-06 15:00:00
T00271,"Great driver, very professional and courteous.",2024-01-06 15:30:00
T00272,"Excellent service, driver was very helpful.",2024-01-06 16:00:00
T00273,"Great driver, very professional and courteous.",2024-01-06 16:30:00
T00274,"Smooth ride, arrived on time. Would recommend!",2024-01-06 17:00:00
T00275,"Excellent service, driver was very helpful.",2024-01-06 17:30:00
T00276,"Great driver, very professional and courteous.",2024-01-06 18:00:00
T00277,"Ride was okay, nothing special.",2024-01-06 18:30:00
T00278,"Smooth ride, arrived on time. Would recommend!",2024-01-06 19:00:00
T00279,"Excellent service, driver was very helpful.",2024-01-06 19:30:00
T00280,"Excellent service, driver was very helpful.",2024-01-06 20:00:00
T00281,"Smooth ride, arrived on time. Would recommend!",2024-01-06 20:30:00
T00282,"Excellent service, driver was very helpful.",2024-01-06 21:00:00
T00283,"Smooth ride, arrived on time. Would recommend!",2024-01-06 21:30:00
T00284,"Excellent service, driver was very helpful.",2024-01-06 22:00:00
T00285,"Safe driving, comfortable journey. Thank you!",2024-01-06 22:30:00
T00286,"Excellent service, driver was very helpful.",2024-01-06 23:00:00
T00287,"Great driver, very professional and courteous.",2024-01-06 23:30:00
T00288,"Great driver, very professional and courteous.",2024-01-07 00:00:00
T00289,"Safe driving, comfortable journey. Thank you!",2024-01-07 00:30:00
T00290,"Excellent service, driver was very helpful.",2024-01-07 01:00:00
T00291,"Great driver, very professional and courteous.",2024-01-07 01:30:00
T00292,"Great driver, very professional and courteous.",2024-01-07 02:00:00
T00293,"Average experience, got to destination fine.",2024-01-07 02:30:00
T00294,"Smooth ride, arrived on time. Would recommend!",2024-01-07 03:00:00
T00295,"Excellent service, driver was very helpful.",2024-01-07 03:30:00
T00296,"Smooth ride, arrived on time. Would recommend!",2024-01-07 04:00:00
T00297,"Safe driving, comfortable journey. Thank you!",2024-01-07 04:30:00
T00298,"Safe driving, comfortable journey. Thank you!",2024-01-07 05:00:00
T00299,"Great driver, very professional and courteous.",2024-01-07 05:30:00
T00300,"Great driver, very professional and courteous.",2024-01-07 06:00:00
T00301,"Great driver, very professional and courteous.",2024-01-07 06:30:00
T00302,"Smooth ride, arrived on time. Would recommend!",2024-01-07 07:00:00
T00303,"Great driver, very professional and courteous.",2024-01-07 07:30:00
T00304,"Excellent service, driver was very helpful.",2024-01-07 08:00:00
T00305,"Smooth ride, arrived on time. Would recommend!",2024-01-07 08:30:00
T00306,"Safe driving, comfortable journey. Thank you!",2024-01-07 09:00:00
T00307,"Smooth ride, arrived on time. Would recommend!",2024-01-07 09:30:00
T00308,"Great driver, very professional and courteous.",2024-01-07 10:00:00
T00309,"Excellent service, driver was very helpful.",2024-01-07 10:30:00
T00310,"Average experience, got to destination fine.",2024-01-07 11:00:00
T00311,"Great driver, very professional and courteous.",2024-01-07 11:30:00
T00312,"Excellent service, driver was very helpful.",2024-01-07 12:00:00
T00313,"Smooth ride, arrived on time. Would recommend!",2024-01-07 12:30:00
T00314,"Smooth ride, arrived on time. Would recommend!",2024-01-07 13:00:00
T00315,"Great driver, very professional and courteous.",2024-01-07 13:30:00
T00316,"Excellent service, driver was very helpful.",2024-01-07 14:00:00
T00317,"Safe driving, comfortable journey. Thank you!",2024-01-07 14:30:00
T00318,"Smooth ride, arrived on time. Would recommend!",2024-01-07 15:00:00
T00319,"Smooth ride, arrived on time. Would recommend!",2024-01-07 15:30:00
T00320,"Smooth ride, arrived on time. Would recommend!",2024-01-07 16:00:00
T00321,"Smooth ride, arrived on time. Would recommend!",2024-01-07 16:30:00
T00322,"Safe driving, comfortable journey. Thank you!",2024-01-07 17:00:00
T00323,"Great driver, very professional and courteous.",2024-01-07 17:30:00
T00324,"Smooth ride, arrived on time. Would recommend!",2024-01-07 18:00:00
T00325,"Excellent service, driver was very helpful.",2024-01-07 18:30:00
T00326,"Safe driving, comfortable journey. Thank you!",2024-01-07 19:00:00
T00327,"Smooth ride, arrived on time. Would recommend!",2024-01-07 19:30:00
T00328,"Excellent service, driver was very helpful.",2024-01-07 20:00:00
T00329,"Smooth ride, arrived on time. Would recommend!",2024-01-07 20:30:00
T00330,Driver was quiet but professional.,2024-01-07 21:00:00
T00331,"Great driver, very professional and courteous.",2024-01-07 21:30:00
T00332,"Safe driving, comfortable journey. Thank you!",2024-01-07 22:00:00
T00333,"Great driver, very professional and courteous.",2024-01-07 22:30:00
T00334,"Safe driving, comfortable journey. Thank you!",2024-01-07 23:00:00
T00335,"Smooth ride, arrived on time. Would recommend!",2024-01-07 23:30:00
T00336,"Smooth ride, arrived on time. Would recommend!",2024-01-08 00:00:00
T00337,"Safe driving, comfortable journey. Thank you!",2024-01-08 00:30:00
T00338,"Excellent service, driver was very helpful.",2024-01-08 01:00:00
T00339,"Excellent service, driver was very helpful.",2024-01-08 01:30:00
T00340,"Smooth ride, arrived on time. Would recommend!",2024-01-08 02:00:00
T00341,"Smooth ride, arrived on time. Would recommend!",2024-01-08 02:30:00
T00342,"Great driver, very professional and courteous.",2024-01-08 03:00:00
T00343,"Smooth ride, arrived on time. Would recommend!",2024-01-08 03:30:00
T00344,"Safe driving, comfortable journey. Thank you!",2024-01-08 04:00:00
T00345,"Excellent service, driver was very helpful.",2024-01-08 04:30:00
T00346,"Excellent service, driver was very helpful.",2024-01-08 05:00:00
T00347,"Great driver, very professional and courteous.",2024-01-08 05:30:00
T00348,"Excellent service, driver was very helpful.",2024-01-08 06:00:00
T00349,"Excellent service, driver was very helpful.",2024-01-08 06:30:00
T00350,"Safe driving, comfortable journey. Thank you!",2024-01-08 07:00:00
T00351,"Excellent service, driver was very helpful.",2024-01-08 07:30:00
T00352,"Great driver, very professional and courteous.",2024-01-08 08:00:00
T00353,"Great driver, very professional and courteous.",2024-01-08 08:30:00
T00354,"Excellent service, driver was very helpful.",2024-01-08 09:00:00
T00355,"Smooth ride, arrived on time. Would recommend!",2024-01-08 09:30:00
T00356,"Excellent service, driver was very helpful.",2024-01-08 10:00:00
T00357,"Great driver, very professional and courteous.",2024-01-08 10:30:00
T00358,"Great driver, very professional and courteous.",2024-01-08 11:00:00
T00359,"Safe driving, comfortable journey. Thank you!",2024-01-08 11:30:00
T00360,"Excellent service, driver was very helpful.",2024-01-08 12:00:00
T00361,"Excellent service, driver was very helpful.",2024-01-08 12:30:00
T00362,"Safe driving, comfortable journey. Thank you!",2024-01-08 13:00:00
T00363,"Great driver, very professional and courteous.",2024-01-08 13:30:00
T00364,"Safe driving, comfortable journey. Thank you!",2024-01-08 14:00:00
T00365,Driver was quiet but professional.,2024-01-08 14:30:00
T00366,"Smooth ride, arrived on time. Would recommend!",2024-01-08 15:00:00
T00367,"Excellent service, driver was very helpful.",2024-01-08 15:30:00
T00368,"Great driver, very professional and courteous.",2024-01-08 16:00:00
T00369,"Safe driving, comfortable journey. Thank you!",2024-01-08 16:30:00
T00370,"Great driver, very professional and courteous.",2024-01-08 17:00:00
T00371,"Smooth ride, arrived on time. Would recommend!",2024-01-08 17:30:00
T00372,"Excellent service, driver was very helpful.",2024-01-08 18:00:00
T00373,"Safe driving, comfortable journey. Thank you!",2024-01-08 18:30:00
T00374,"Great driver, very professional and courteous.",2024-01-08 19:00:00
T00375,"Excellent service, driver was very helpful.",2024-01-08 19:30:00
T00376,"Excellent service, driver was very helpful.",2024-01-08 20:00:00
T00377,"Great driver, very professional and courteous.",2024-01-08 20:30:00
T00378,"Excellent service, driver was very helpful.",2024-01-08 21:00:00
T00379,"Excellent service, driver was very helpful.",2024-01-08 21:30:00
T00380,"Safe driving, comfortable journey. Thank you!",2024-01-08 22:00:00
T00381,"Excellent service, driver was very helpful.",2024-01-08 22:30:00
T00382,"Safe driving, comfortable journey. Thank you!",2024-01-08 23:00:00
T00383,"Excellent service, driver was very helpful.",2024-01-08 23:30:00
T00384,"Smooth ride, arrived on time. Would recommend!",2024-01-09 00:00:00
T00385,"Smooth ride, arrived on time. Would recommend!",2024-01-09 00:30:00
T00386,"Safe driving, comfortable journey. Thank you!",2024-01-09 01:00:00
T00387,"Safe driving, comfortable journey. Thank you!",2024-01-09 01:30:00
T00388,"Smooth ride, arrived on time. Would recommend!",2024-01-09 02:00:00
T00389,"Excellent service, driver was very helpful.",2024-01-09 02:30:00
T00390,"Safe driving, comfortable journey. Thank you!",2024-01-09 03:00:00
T00391,"Great driver, very professional and courteous.",2024-01-09 03:30:00
T00392,"Excellent service, driver was very helpful.",2024-01-09 04:00:00
T00393,"Excellent service, driver was very helpful.",2024-01-09 04:30:00
T00394,"Smooth ride, arrived on time. Would recommend!",2024-01-09 05:00:00
T00395,"Safe driving, comfortable journey. Thank you!",2024-01-09 05:30:00
T00396,"Excellent service, driver was very helpful.",2024-01-09 06:00:00
T00397,"Safe driving, comfortable journey. Thank you!",2024-01-09 06:30:00
T00398,"Safe driving, comfortable journey. Thank you!",2024-01-09 07:00:00
T00399,"Safe driving, comfortable journey. Thank you!",2024-01-09 07:30:00
